65,58,-91,45,116,-33,43,11,104,-89,-17,-44,76,83,28,62
93,-10,23,36,102,-66,127,127,103,66,-74,-76,37,-18,96,89
39,-41,98,-19,15,-29,15,1,77,-127,-61,-36,-33,-107,58,39
96,-99,-127,52,123,65,-41,-25,62,-43,29,-84,112,122,52,93
127,-68,-2,127,127,127,-77,89,127,5,127,-127,47,-4,127,127
47,-115,104,50,37,74,-16,14,31,-123,112,-51,-127,-127,65,51
44,-78,-41,25,13,-31,5,-5,66,-76,5,-50,-21,77,20,51
58,-127,14,69,13,-62,-85,-6,65,-31,-68,-68,-37,5,49,68
19,-127,19,37,24,-44,-6,4,55,20,-53,-18,-33,-67,6,24
